lat,lon,rate,beamwidth
116.12640687119277,30.584776310850245,4350.0,1.0
111.8837661840735,29.17056274847715,3000.0,1.0
116.12640687119277,23.513708498984766,1350.0,1.0
73.7,12.2,0.0,0.0
73.7,12.2,0.0,0.0
110.4695526217004,30.584776310850245,1500.0,1.0
113.29797974644659,24.92792206135786,2700.0,1.0
114.71219330881968,23.513708498984766,8550.0,1.0
111.8837661840735,27.756349186104053,1050.0,1.0
109.05533905932731,29.17056274847715,2350.0,1.0
111.8837661840735,23.513708498984766,3550.0,1.0
109.05533905932731,34.827416997969536,3750.0,1.0
123.11250305175781,35.96249771118164,4550.0,2.0053842067718506
114.71219330881968,26.342135623730957,2250.0,1.0
114.71219330881968,39.07005768508882,3750.0,1.0
114.71219330881968,24.92792206135786,1050.0,1.0
114.71219330881968,27.756349186104053,3150.0,1.0
126.02590180780442,44.72691193458121,1200.0,1.0
117.45833587646484,35.625,6700.0,1.931499719619751
116.12640687119277,29.17056274847715,2250.0,1.0
78.19999694824219,47.20000076293945,400.0,0.5
124.08333587646484,39.01667022705078,5950.0,2.4712777137756348
117.54062043356586,29.17056274847715,3300.0,1.0
126.02590180780442,53.21219330881978,450.0,2.8
117.54062043356586,27.756349186104053,2250.0,1.0
109.05533905932731,36.24163056034263,850.0,1.0
73.7,12.2,0.0,0.0
111.26666259765625,26.233335494995117,5150.0,2.3371424674987793
73.7,12.2,0.0,0.0
113.29797974644659,36.24163056034263,1750.0,1.0
109.05533905932731,22.09949493661167,1350.0,1.0
126.25,30.200000762939453,2950.0,1.6007815599441528
111.477783203125,38.28888702392578,11750.0,2.4084479808807373
123.80000305175781,33.53333282470703,3000.0,2.4230313301086426
134.10000610351562,44.599998474121094,150.0,0.5
113.29797974644659,30.584776310850245,2250.0,1.0
107.64112549695422,31.99898987322334,1000.0,1.0
108.64000701904297,16.559999465942383,3300.0,2.1700692176818848
117.54062043356586,26.342135623730957,1900.0,1.0
73.7,12.2,0.0,0.0
127.9000015258789,42.900001525878906,150.0,0.5
108.0571517944336,26.22857093811035,7300.0,1.926457166671753
73.7,12.2,0.0,0.0
108.68889617919922,31.188886642456055,2350.0,1.2051914930343628
103.66667175292969,24.666667938232422,1050.0,0.6574411392211914
73.7,12.2,0.0,0.0
121.78326112068514,37.65584412271572,1050.0,1.0
118.95483399593896,33.41320343559644,2700.0,1.0
107.05000305175781,31.049999237060547,3300.0,0.7106372714042664
116.0,24.875,2100.0,0.5202174186706543
109.05533905932731,27.756349186104053,950.0,1.0
110.4695526217004,29.17056274847715,1800.0,1.0
119.05000305175781,26.200000762939453,2350.0,0.5
120.36904755831205,54.62640687119287,450.0,2.8
110.4695526217004,22.09949493661167,900.0,1.0
106.22691193458112,30.584776310850245,1350.0,1.0
73.7,12.2,0.0,0.0
116.12640687119277,33.41320343559644,1200.0,1.0
110.4695526217004,36.24163056034263,600.0,1.0
101.98427124746185,24.92792206135786,750.0,1.0
115.0999984741211,36.366668701171875,6650.0,2.203281879425049
116.12640687119277,37.65584412271572,3050.0,1.0
73.7,12.2,0.0,0.0
120.36904755831205,36.24163056034263,3000.0,1.0
113.29797974644659,27.756349186104053,2700.0,1.0
118.95483399593896,22.09949493661167,1300.0,1.0
114.71219330881968,30.584776310850245,1750.0,1.0
116.12640687119277,26.342135623730957,1800.0,1.0
120.36904755831205,31.99898987322334,2400.0,1.0
116.12640687119277,39.07005768508882,6350.0,1.0
127.44011537017751,36.24163056034263,600.0,1.5999999999999999
109.05533905932731,33.41320343559644,3300.0,1.0
109.05533905932731,23.513708498984766,1300.0,1.0
113.29797974644659,22.09949493661167,2100.0,1.0
114.71219330881968,33.41320343559644,4200.0,1.0
99.9000015258789,29.899999618530273,450.0,0.5
117.54062043356586,23.513708498984766,1450.0,1.0
107.30000305175781,33.20000076293945,900.0,0.5
73.7,12.2,0.0,0.0
93.0999984741211,40.20000076293945,450.0,0.5
114.71219330881968,31.99898987322334,900.0,1.0
77.94264068711928,39.07005768508882,700.0,2.8
121.16667175292969,38.900001525878906,2200.0,1.5322521924972534
107.64112549695422,29.17056274847715,2400.0,1.0
117.07499694824219,32.275001525878906,8300.0,1.9877780675888062
73.7,12.2,0.0,0.0
118.95483399593896,37.65584412271572,1500.0,1.0
113.30000305175781,29.600000381469727,2100.0,1.897369623184204
73.7,12.2,0.0,0.0
100.57005768508876,31.99898987322334,450.0,1.5999999999999999
115.0999984741211,28.799999237060547,150.0,0.5
130.26854249492368,50.38376618407359,600.0,2.8
103.4000015258789,37.400001525878906,150.0,0.5
85.01370849898474,30.584776310850245,450.0,2.8
108.80000305175781,21.100000381469727,150.0,0.5
118.95483399593896,24.92792206135786,1950.0,1.0
83.59949493661165,46.1411254969543,1550.0,2.8
88.0999984741211,44.29999923706055,150.0,0.5
117.54062043356586,43.312698372208104,1350.0,1.5999999999999999
100.57005768508876,36.24163056034263,1900.0,2.8
73.7,12.2,0.0,0.0
120.36904755831205,34.827416997969536,2100.0,1.0
94.91320343559639,40.48427124746192,900.0,1.0
114.0999984741211,22.700000762939453,1150.0,0.5
73.7,12.2,0.0,0.0
133.0969696196699,48.96955262170049,450.0,2.8
73.7,12.2,0.0,0.0
114.71219330881968,16.442640687119287,900.0,2.8
73.7,12.2,0.0,0.0
118.95483399593896,19.27106781186548,450.0,2.8
73.7,12.2,0.0,0.0
